gene,scenario,supported,shared,median_density,mean_absolute_change,max_absolute_change
BRCA2,7LDG_ca_h2,106,103,0.1814351024740873,0.007045357026660662,0.038146036889660284
BRCA2,7LDG_ca_h3,106,103,0.1796240479042454,0.009850710550580344,0.03922356740599786
BRCA2,7LDG_ca_h5,106,103,0.1773862904188943,0.016207079038940704,0.04914941936803385
BRCA2,7LDG_com_h2,103,103,0.18334359484330948,0.015827661806759447,0.05748171441446506
BRCA2,7LDG_com_h3,103,103,0.17800295558075616,0.0,0.0
BRCA2,7LDG_com_h5,103,103,0.17752714405667336,0.012483290394645857,0.03456773256864304
BRCA2,8PBC_ca_h2,24,24,0.1672934863961351,0.009732680211212296,0.035015389832134786
BRCA2,8PBC_ca_h3,24,24,0.18103836822667646,0.008962616685341115,0.028328316201683884
BRCA2,8PBC_ca_h5,24,24,0.1869401977814652,0.015468069361312543,0.03839202238282824
BRCA2,8PBC_com_h2,24,24,0.17203650527386136,0.010991140871081502,0.02644797034984564
BRCA2,8PBC_com_h3,24,24,0.17556787456245154,0.0,0.0
BRCA2,8PBC_com_h5,24,24,0.18318361775064995,0.013553763036238814,0.03167380951285054
BRCA2,BRCA2_domains_ca_h2,130,127,0.18126151113373862,0.007553197628465695,0.038146036889660284
BRCA2,BRCA2_domains_ca_h3,130,127,0.17969717364070006,0.009682881788645372,0.03922356740599786
BRCA2,BRCA2_domains_ca_h5,130,127,0.17869483897698946,0.016067423666790495,0.04914941936803385
BRCA2,BRCA2_domains_com_h2,127,127,0.1829726472411275,0.014913673598442354,0.05748171441446506
BRCA2,BRCA2_domains_com_h3,127,127,0.17781757148958666,0.0,0.0
BRCA2,BRCA2_domains_com_h5,127,127,0.17897825380741697,0.012685584437151613,0.03456773256864304
