model,support_stratum,n_variants,mae_empirical_posterior,mse_empirical_posterior,mae_observed_fraction,mse_observed_fraction,mean_beta_binomial_nll,spearman_observed_fraction,mean_prediction,mean_observed_fraction,gene,cohort
density_fit,all,726,0.0638890566718932,0.01344147993836,0.1474417357489087,0.0605043166826251,0.5952892270617783,0.3445898812806201,0.1014944659987288,0.1059207501947663,HNF1A,all_supported
density_unfitted,all,726,0.0672096565582756,0.0134956961702336,0.1466449005165407,0.0594479551429829,0.5895481855421892,0.3477112868421367,0.103689962766687,0.1059207501947663,HNF1A,all_supported
empirical_prior,all,726,0.0901449116511748,0.0204181010345405,0.1792374393699998,0.0807290302915605,0.7240117786381407,,0.1036769909860338,0.1059207501947663,HNF1A,all_supported
intercept_only,all,726,0.08865583674701,0.0204695441888335,0.177748364465835,0.0808478247583493,0.7232970686983575,,0.1014616042110893,0.1059207501947663,HNF1A,all_supported
sequence_fit,all,726,0.0655467632296772,0.0139315454838196,0.1499454398307981,0.0619288323160949,0.6055351279178152,0.3387282974555201,0.1015031182739754,0.1059207501947663,HNF1A,all_supported
sequence_unfitted,all,726,0.0688188028196048,0.0139695328050338,0.1490201335657329,0.0612361022307779,0.6007126538554491,0.3420041070578568,0.1022091848303768,0.1059207501947663,HNF1A,all_supported
am_fit,all,720,0.0766373490023006,0.0151690773013911,0.1563871793497484,0.0666621558131286,0.6099207701529265,0.3393327222958724,0.101553821583888,0.106381796128929,HNF1A,am_common
am_plus_density,all,720,0.0653828899331631,0.0128572589742549,0.1457758112094809,0.0594836835177847,0.5792112915656512,0.3576798759595225,0.1015958977413308,0.106381796128929,HNF1A,am_common
am_plus_sequence,all,720,0.0669189822069194,0.0129796707583684,0.1467720909320512,0.0599370588463045,0.5822967467844351,0.3564269148468657,0.1016039689690067,0.106381796128929,HNF1A,am_common
density_fit,all,720,0.0640912891216859,0.0135265788043489,0.1478461023495283,0.0609012305197185,0.5916926651204515,0.3475715138856787,0.1016146982303885,0.106381796128929,HNF1A,am_common
density_unfitted,all,720,0.0673664169391641,0.013571611366686,0.1470124729431882,0.0598280410643206,0.5858617996106128,0.3508037403355377,0.1037656249186279,0.106381796128929,HNF1A,am_common
empirical_prior,all,720,0.0904984668252547,0.0205653024376886,0.17988228395451,0.0813088323992798,0.7222711575337679,,0.1036769909860337,0.106381796128929,HNF1A,am_common
intercept_only,all,720,0.0890965517850512,0.0206181406909182,0.1784803689143065,0.0814301350639699,0.7216221297700087,,0.101580663923569,0.106381796128929,HNF1A,am_common
sequence_fit,all,720,0.0656550837844212,0.0140059110424865,0.1502709667557566,0.0622718379489237,0.6018435564627855,0.3429688814798063,0.1016269968354479,0.106381796128929,HNF1A,am_common
sequence_unfitted,all,720,0.0688078502418948,0.0140228865428578,0.1492263770903474,0.0615803598410324,0.5968784938191494,0.3462364787307441,0.1020913928377721,0.106381796128929,HNF1A,am_common
