model,support_stratum,n_variants,mae_empirical_posterior,mse_empirical_posterior,mae_observed_fraction,mse_observed_fraction,mean_beta_binomial_nll,spearman_observed_fraction,mean_prediction,mean_observed_fraction,gene,cohort
density_fit,all,975,0.1358634344260887,0.0345795266433552,0.2868469450750084,0.1143430263658904,1.1410389104903855,0.5537495772466793,0.2826883284699438,0.2486137185868098,KCNQ1,all_supported
density_unfitted,all,975,0.1383982318847889,0.034492309081803,0.2860561454090555,0.1135767072782026,1.1353377841485408,0.5540299327796456,0.2864448388439405,0.2486137185868098,KCNQ1,all_supported
empirical_prior,all,975,0.1907169986888801,0.0521656508701749,0.3590092722948166,0.1577266106142685,1.3631987676153012,,0.2947603080755296,0.2486137185868098,KCNQ1,all_supported
intercept_only,all,975,0.1858281397688537,0.0521264637446884,0.3541201072285939,0.1569268392160935,1.358081760050543,,0.2826748469310002,0.2486137185868098,KCNQ1,all_supported
sequence_fit,all,975,0.1376057984718117,0.0356945832881703,0.2912671645860964,0.1168059022515417,1.1535136965260222,0.5489296281620418,0.2826851264833726,0.2486137185868098,KCNQ1,all_supported
sequence_unfitted,all,975,0.1394545560181626,0.0354675793797468,0.288393461595481,0.1155954170847348,1.144269305576681,0.5493182278181679,0.2820356050603746,0.2486137185868098,KCNQ1,all_supported
am_fit,all,969,0.1369591616637347,0.0325655753221977,0.2799881588960208,0.1098003049765932,1.109790253737561,0.5522290076453996,0.2808255932448391,0.2448990703318384,KCNQ1,am_common
am_plus_density,all,969,0.1303483517217532,0.0302271409085015,0.2708443955406257,0.1041488107387627,1.0853338740857137,0.5845807710409345,0.2808796307219378,0.2448990703318384,KCNQ1,am_common
am_plus_sequence,all,969,0.1311094039139132,0.0305901862701924,0.2722889265567553,0.1048924208057467,1.0885362765078137,0.5796501243573589,0.2808649920728053,0.2448990703318384,KCNQ1,am_common
density_fit,all,969,0.1349752558787215,0.0342271097904456,0.2848813784168295,0.1130904992776652,1.1337377342427568,0.5530429230090196,0.280851728708064,0.2448990703318384,KCNQ1,am_common
density_unfitted,all,969,0.1377596748543513,0.0341838805326295,0.2846618417631348,0.1124335433821072,1.1287981812473016,0.5533776757158505,0.2861299881399436,0.2448990703318384,KCNQ1,am_common
empirical_prior,all,969,0.1900790964430859,0.0517934243387501,0.3577109445295769,0.1563399578419141,1.3568963775190657,,0.2947603080755296,0.2448990703318384,KCNQ1,am_common
intercept_only,all,969,0.1843269796550801,0.0517063470944754,0.3519585196997328,0.1553146291233925,1.350569318278779,,0.2808411405971989,0.2448990703318384,KCNQ1,am_common
sequence_fit,all,969,0.1367194460758329,0.0353035534103663,0.2892363375203063,0.1154944837683599,1.1458410819804208,0.548499957977856,0.2808483292882524,0.2448990703318384,KCNQ1,am_common
sequence_unfitted,all,969,0.1387619558131767,0.0351056558437607,0.2869530466143498,0.1143878116099637,1.1374000101523472,0.5488811856117418,0.2817540364804604,0.2448990703318384,KCNQ1,am_common
