model,support_stratum,n_variants,mae_empirical_posterior,mse_empirical_posterior,mae_observed_fraction,mse_observed_fraction,mean_beta_binomial_nll,spearman_observed_fraction,mean_prediction,mean_observed_fraction,gene,cohort
density_fit,all,1206,0.101659505679594,0.0219703872891435,0.2289695940987366,0.1011781745660329,0.9305962902809946,0.3169496276296065,0.1547666471021904,0.1606367985322846,LDLR,all_supported
density_unfitted,all,1206,0.1063967327442301,0.0219813223751244,0.2307280624876965,0.1000241375560809,0.926097540729156,0.3179430780070121,0.1623770016093206,0.1606367985322846,LDLR,all_supported
empirical_prior,all,1206,0.1104915424515721,0.0241174960857574,0.2406167101243637,0.1085619330340956,0.9829584072702766,,0.1537761078600645,0.1606367985322846,LDLR,all_supported
intercept_only,all,1206,0.1111386491540009,0.0241565753887143,0.2412637596479721,0.1086263358029395,0.9839179288659792,,0.1547610080177201,0.1606367985322846,LDLR,all_supported
sequence_fit,all,1206,0.103128335488386,0.0224599039824577,0.2320510685171364,0.1030022579677543,0.942935652164432,0.2669825043515837,0.1547546339648168,0.1606367985322846,LDLR,all_supported
sequence_unfitted,all,1206,0.1051737219943108,0.0224954483302391,0.2299304836891918,0.1018496855021679,0.9336580910048178,0.268590146583064,0.1556804577180439,0.1606367985322846,LDLR,all_supported
am_fit,all,1199,0.0899518000631897,0.0184717220222143,0.2116222436846409,0.0896596766888119,0.8530636387712309,0.4219973596116212,0.1542104553033463,0.1587030333267205,LDLR,am_common
am_plus_density,all,1199,0.0896581115982454,0.0183408132260894,0.2104947317712802,0.0890212587891115,0.8492905155265967,0.4363345631257599,0.154224904404757,0.1587030333267205,LDLR,am_common
am_plus_sequence,all,1199,0.0893452124832406,0.0182514866420825,0.2102130962010154,0.0887953044395765,0.8477963286196729,0.4372576494892804,0.1542160629166594,0.1587030333267205,LDLR,am_common
density_fit,all,1199,0.1009947868325422,0.0218331251980985,0.2273309947325195,0.0997620280372102,0.92197356096073,0.3249207176663701,0.154219064318431,0.1587030333267205,LDLR,am_common
density_unfitted,all,1199,0.1060365524032369,0.0218356063637785,0.2296520159160271,0.098667795886253,0.9182866016680424,0.3258426947677053,0.1625449348812858,0.1587030333267205,LDLR,am_common
empirical_prior,all,1199,0.1102745178010775,0.0240380889995091,0.239717644819094,0.1073840091762694,0.9763546391911476,,0.1537761078600645,0.1587030333267205,LDLR,am_common
intercept_only,all,1199,0.1106152271066578,0.0240780501301909,0.2400582966120325,0.107456740057304,0.9770896277668404,,0.1542129393880824,0.1587030333267205,LDLR,am_common
sequence_fit,all,1199,0.1024311256573111,0.0223253767430575,0.2304628438787379,0.101604687166389,0.9346409542846656,0.2738687743143972,0.154206642290132,0.1587030333267205,LDLR,am_common
sequence_unfitted,all,1199,0.1047518478597928,0.0223389794557972,0.2288017870226766,0.1004672662038307,0.925773635257985,0.2753800707966078,0.155791612039297,0.1587030333267205,LDLR,am_common
