model,support_stratum,n_variants,mae_empirical_posterior,mse_empirical_posterior,mae_observed_fraction,mse_observed_fraction,mean_beta_binomial_nll,spearman_observed_fraction,mean_prediction,mean_observed_fraction,gene,cohort
density_fit,all,726,0.06388905667189322,0.013441479938360014,0.1474417357489087,0.060504316682625174,0.5952892270617783,0.34458989478844115,0.1014944659987288,0.10592075019476632,HNF1A,all_supported
density_unfitted,all,726,0.0672096565582756,0.01349569617023362,0.14664490051654067,0.05944795514298292,0.5895481855421892,0.34771133045870484,0.10368996276668704,0.10592075019476632,HNF1A,all_supported
empirical_prior,all,726,0.09014491165117483,0.0204181010345405,0.17923743936999983,0.08072903029156059,0.7240117786381407,,0.10367699098603382,0.10592075019476632,HNF1A,all_supported
intercept_only,all,726,0.08865583674701001,0.020469544188833583,0.177748364465835,0.08084782475834933,0.7232970686983575,,0.10146160421108935,0.10592075019476632,HNF1A,all_supported
sequence_fit,all,726,0.06554676322967727,0.013931545483819686,0.14994543983079817,0.061928832316094966,0.6055351279178152,0.33872830542234866,0.10150311827397536,0.10592075019476632,HNF1A,all_supported
sequence_unfitted,all,726,0.06881880281960484,0.013969532805033824,0.1490201335657329,0.06123610223077794,0.600712653855449,0.34200421162822164,0.10220918483037678,0.10592075019476632,HNF1A,all_supported
am_fit,all,720,0.07663734900230065,0.015169077301391108,0.15638717934974838,0.06666215581312863,0.6099207701529265,0.33933273047810525,0.10155382158388798,0.10638179612892906,HNF1A,am_common
am_plus_density,all,720,0.06538288993316314,0.012857258974254979,0.1457758112094809,0.05948368351778476,0.5792112915656511,0.35767987595952255,0.10159589774133079,0.10638179612892906,HNF1A,am_common
am_plus_sequence,all,720,0.06691898220691941,0.012979670758368431,0.1467720909320512,0.05993705884630457,0.5822967467844351,0.3564269148468657,0.10160396896900675,0.10638179612892906,HNF1A,am_common
density_fit,all,720,0.0640912891216859,0.013526578804348967,0.14784610234952827,0.060901230519718526,0.5916926651204515,0.3475715166793115,0.10161469823038848,0.10638179612892906,HNF1A,am_common
density_unfitted,all,720,0.06736641693916416,0.01357161136668606,0.14701247294318817,0.05982804106432062,0.5858617996106128,0.35080378544932816,0.10376562491862794,0.10638179612892906,HNF1A,am_common
empirical_prior,all,720,0.0904984668252547,0.020565302437688636,0.17988228395451,0.08130883239927988,0.7222711575337679,,0.10367699098603379,0.10638179612892906,HNF1A,am_common
intercept_only,all,720,0.0890965517850512,0.0206181406909182,0.17848036891430646,0.08143013506396998,0.7216221297700087,,0.10158066392356899,0.10638179612892906,HNF1A,am_common
sequence_fit,all,720,0.06565508378442125,0.014005911042486508,0.15027096675575657,0.062271837948923756,0.6018435564627855,0.34296890077627706,0.10162699683544794,0.10638179612892906,HNF1A,am_common
sequence_unfitted,all,720,0.06880785024189487,0.01402288654285785,0.14922637709034742,0.06158035984103249,0.5968784938191494,0.3462365872639229,0.10209139283777216,0.10638179612892906,HNF1A,am_common
am_fit,all,610,0.12463616395541247,0.024887571688933668,0.3668417690914308,0.15846245428750616,0.9819042062604676,0.5008094200965264,0.36007802610792145,0.32627179573732285,GCK,am_common
am_plus_density,all,610,0.12340019896025388,0.0245662341908122,0.36488235234654925,0.15710923984210412,0.97499310581334,0.5126957068691387,0.36010167115483177,0.32627179573732285,GCK,am_common
am_plus_sequence,all,610,0.12281836717354319,0.024549384281339744,0.3646013023157403,0.15657640718364574,0.9761490744496962,0.519661579887419,0.3601263211256683,0.32627179573732285,GCK,am_common
density_fit,all,610,0.13938444681369466,0.02965287625943509,0.3899625682068757,0.17553055395434122,1.0509554891153465,0.3724796135160101,0.36010209044076685,0.32627179573732285,GCK,am_common
density_unfitted,all,610,0.14179250461209558,0.029589991843916873,0.3929372026013538,0.17638488756312057,1.054128267801057,0.37312242177239985,0.3684829311900659,0.32627179573732285,GCK,am_common
empirical_prior,all,610,0.16397236539091237,0.03490146408073039,0.4191856850081092,0.1947240561277779,1.1376757729343014,,0.3704179222682078,0.32627179573732285,GCK,am_common
intercept_only,all,610,0.16125253222771893,0.03490884988755776,0.4164658518449157,0.1941621139346848,1.1351387380039308,,0.3600750202126641,0.32627179573732285,GCK,am_common
sequence_fit,all,610,0.14159401783432904,0.030814064602787388,0.39471702374733625,0.17833221392082899,1.0720530053513895,0.3538851218843275,0.3601133443981876,0.32627179573732285,GCK,am_common
sequence_unfitted,all,610,0.13992612330843696,0.03083116809940368,0.38909218612766694,0.17531825679733692,1.057375041363457,0.3562107134102382,0.35952428465815905,0.32627179573732285,GCK,am_common
density_fit,all,1206,0.10165950567959404,0.02197038728914352,0.22896959409873657,0.10117817456603292,0.9305962902809946,0.31694963684510874,0.15476664710219046,0.16063679853228469,LDLR,all_supported
density_unfitted,all,1206,0.10639673274423013,0.021981322375124405,0.23072806248769645,0.10002413755608092,0.926097540729156,0.3179431003022988,0.16237700160932061,0.16063679853228469,LDLR,all_supported
empirical_prior,all,1206,0.11049154245157215,0.02411749608575742,0.24061671012436378,0.10856193303409564,0.9829584072702766,,0.1537761078600645,0.16063679853228469,LDLR,all_supported
