stratum,bin_left,bin_right,count
One affected observation; no added gnomAD count,0.0,0.02,0
One affected observation; no added gnomAD count,0.02,0.04,0
One affected observation; no added gnomAD count,0.04,0.06,0
One affected observation; no added gnomAD count,0.06,0.08,0
One affected observation; no added gnomAD count,0.08,0.1,1817
One affected observation; no added gnomAD count,0.1,0.12,135
One affected observation; no added gnomAD count,0.12,0.14,41
One affected observation; no added gnomAD count,0.14,0.16,22
One affected observation; no added gnomAD count,0.16,0.18,18
One affected observation; no added gnomAD count,0.18,0.2,12
One affected observation; no added gnomAD count,0.2,0.22,14
One affected observation; no added gnomAD count,0.22,0.24,9
One affected observation; no added gnomAD count,0.24,0.26,4
One affected observation; no added gnomAD count,0.26,0.28,2
One affected observation; no added gnomAD count,0.28,0.3,3
One affected observation; no added gnomAD count,0.3,0.32,95
One affected observation; no added gnomAD count,0.32,0.34,1161
One affected observation; no added gnomAD count,0.34,0.36,6
One affected observation; no added gnomAD count,0.36,0.38,6
One affected observation; no added gnomAD count,0.38,0.4,3
One affected observation; no added gnomAD count,0.4,0.42,2
One affected observation; no added gnomAD count,0.42,0.44,6
One affected observation; no added gnomAD count,0.44,0.46,4
One affected observation; no added gnomAD count,0.46,0.48,1
One affected observation; no added gnomAD count,0.48,0.5,4
One affected observation; no added gnomAD count,0.5,0.52,4
One affected observation; no added gnomAD count,0.52,0.54,2
One affected observation; no added gnomAD count,0.54,0.56,3
One affected observation; no added gnomAD count,0.56,0.58,3
One affected observation; no added gnomAD count,0.58,0.6,3
One affected observation; no added gnomAD count,0.6,0.62,4
One affected observation; no added gnomAD count,0.62,0.64,3
One affected observation; no added gnomAD count,0.64,0.66,2
One affected observation; no added gnomAD count,0.66,0.68,250
One affected observation; no added gnomAD count,0.68,0.7000000000000001,15
One affected observation; no added gnomAD count,0.7000000000000001,0.72,6
One affected observation; no added gnomAD count,0.72,0.74,5
One affected observation; no added gnomAD count,0.74,0.76,6
One affected observation; no added gnomAD count,0.76,0.78,6
One affected observation; no added gnomAD count,0.78,0.8,6
One affected observation; no added gnomAD count,0.8,0.8200000000000001,10
One affected observation; no added gnomAD count,0.8200000000000001,0.84,6
One affected observation; no added gnomAD count,0.84,0.86,6
One affected observation; no added gnomAD count,0.86,0.88,6
One affected observation; no added gnomAD count,0.88,0.9,14
One affected observation; no added gnomAD count,0.9,0.92,12
One affected observation; no added gnomAD count,0.92,0.9400000000000001,11
One affected observation; no added gnomAD count,0.9400000000000001,0.96,0
One affected observation; no added gnomAD count,0.96,0.98,0
One affected observation; no added gnomAD count,0.98,1.0,0
Other observations; no added gnomAD count,0.0,0.02,41
Other observations; no added gnomAD count,0.02,0.04,0
Other observations; no added gnomAD count,0.04,0.06,0
Other observations; no added gnomAD count,0.06,0.08,6
Other observations; no added gnomAD count,0.08,0.1,24
Other observations; no added gnomAD count,0.1,0.12,1
Other observations; no added gnomAD count,0.12,0.14,1
Other observations; no added gnomAD count,0.14,0.16,4
Other observations; no added gnomAD count,0.16,0.18,39
Other observations; no added gnomAD count,0.18,0.2,1
Other observations; no added gnomAD count,0.2,0.22,5
Other observations; no added gnomAD count,0.22,0.24,8
Other observations; no added gnomAD count,0.24,0.26,0
Other observations; no added gnomAD count,0.26,0.28,2
Other observations; no added gnomAD count,0.28,0.3,9
Other observations; no added gnomAD count,0.3,0.32,2
Other observations; no added gnomAD count,0.32,0.34,6
Other observations; no added gnomAD count,0.34,0.36,10
Other observations; no added gnomAD count,0.36,0.38,190
Other observations; no added gnomAD count,0.38,0.4,129
Other observations; no added gnomAD count,0.4,0.42,2
Other observations; no added gnomAD count,0.42,0.44,83
Other observations; no added gnomAD count,0.44,0.46,1
Other observations; no added gnomAD count,0.46,0.48,49
Other observations; no added gnomAD count,0.48,0.5,6
Other observations; no added gnomAD count,0.5,0.52,26
Other observations; no added gnomAD count,0.52,0.54,18
Other observations; no added gnomAD count,0.54,0.56,6
Other observations; no added gnomAD count,0.56,0.58,13
Other observations; no added gnomAD count,0.58,0.6,18
Other observations; no added gnomAD count,0.6,0.62,15
Other observations; no added gnomAD count,0.62,0.64,6
Other observations; no added gnomAD count,0.64,0.66,3
Other observations; no added gnomAD count,0.66,0.68,2
Other observations; no added gnomAD count,0.68,0.7000000000000001,5
Other observations; no added gnomAD count,0.7000000000000001,0.72,30
Other observations; no added gnomAD count,0.72,0.74,14
Other observations; no added gnomAD count,0.74,0.76,14
Other observations; no added gnomAD count,0.76,0.78,10
Other observations; no added gnomAD count,0.78,0.8,1
Other observations; no added gnomAD count,0.8,0.8200000000000001,4
Other observations; no added gnomAD count,0.8200000000000001,0.84,3
Other observations; no added gnomAD count,0.84,0.86,3
Other observations; no added gnomAD count,0.86,0.88,2
Other observations; no added gnomAD count,0.88,0.9,1
Other observations; no added gnomAD count,0.9,0.92,0
Other observations; no added gnomAD count,0.92,0.9400000000000001,2
Other observations; no added gnomAD count,0.9400000000000001,0.96,0
Other observations; no added gnomAD count,0.96,0.98,0
Other observations; no added gnomAD count,0.98,1.0,0
Positive gnomAD count added as unaffected,0.0,0.02,113
Positive gnomAD count added as unaffected,0.02,0.04,39
