gene,dimension,stratum,variants,posterior_median,below_0_10,at_or_above_0_50,at_or_above_0_90,gnomad_zero,gnomad_positive,gnomad_count_sum,affected_sum,literature_carrier_sum,literature_n_median,n_one,affected_one_n_one,n_at_most_5,literature_n_at_most_5,all_literature_carriers_affected,zero_affected,truncating,missing_alphamissense,clinvar_none,prior_median,prior_weight_median,posterior_interval_width_median
HNF1A,band,all,233,0.8437136733313207,38,169,37,167,66,179610.0,761.0,876.0,1.0,101,100,177,203,205,4,70,88,115,0.8286423361924622,0.8333333333333334,0.3334958263100657
HNF1A,band,below_0_10,38,0.06720630521472384,38,0,0,10,28,179291.0,162.0,208.0,1.0,9,8,17,34,27,3,0,0,10,0.0010719000709673,0.6066176470588236,0.2177944516777739
HNF1A,band,mode_0_09_to_0_11_inclusive,16,0.09354887567422199,11,0,0,11,5,77.0,24.0,26.0,1.0,10,10,12,15,14,0,0,0,8,0.0015076499558871,0.9090909090909091,0.3034542603224496
HNF1A,band,mode_0_30_to_0_36_inclusive,3,0.3106549649765426,0,0,0,1,2,22.0,7.0,14.0,2.0,1,1,1,2,1,1,0,0,0,0.437904307596998,0.4,0.36571173882014835
HNF1A,band,at_or_above_0_90,37,0.9509787505970948,0,37,37,37,0,0.0,174.0,174.0,2.0,14,14,28,28,37,0,2,20,22,0.8809089577039793,0.8333333333333334,0.24262221082791868
HNF1A,band,clinvar_none_at_or_above_0_90,22,0.9520972096542142,0,22,22,22,0,0.0,85.0,85.0,1.0,13,13,19,19,22,0,2,19,22,0.9471708370899312,0.9090909090909091,0.2412090816086611
HNF1A,band,below_0_10_gnomad_zero,10,0.09226073971053875,10,0,0,10,0,0.0,9.0,11.0,1.0,9,8,10,10,8,1,0,0,8,0.0010210003684979498,0.9090909090909091,0.3034542603224496
HNF1A,band,mode_0_09_to_0_11_n_one,10,0.09294263194689956,8,0,0,10,0,0.0,10.0,10.0,1.0,10,10,10,10,10,0,0,0,8,0.0011223837698219,0.9090909090909091,0.3073151667802353
HNF1A,band,mode_0_30_to_0_36_n_one,1,0.3002505304007029,0,0,0,1,0,0.0,1.0,1.0,1.0,1,1,1,1,1,0,0,0,0,0.2263127100391711,0.9090909090909091,0.5038288052725842
HNF1A,band,gnomad_zero,167,0.8605612563731029,10,147,37,167,0,0.0,412.0,453.0,1.0,101,100,151,151,157,1,67,85,110,0.8286423361924622,0.9090909090909091,0.34173642705196405
HNF1A,band,gnomad_positive,66,0.1229104531436376,28,22,0,0,66,179610.0,349.0,423.0,2.0,0,0,26,52,48,3,3,3,5,0.007527008090868349,0.5555555555555556,0.28176486418592817
HNF1A,band,n_one,101,0.8446410302843135,9,86,14,101,0,0.0,100.0,101.0,1.0,101,100,101,101,100,1,40,54,73,0.8286423361924622,0.9090909090909091,0.3632496815743568
HNF1A,band,literature_n_at_least_10,14,0.6368331924965598,3,8,4,6,8,95509.0,337.0,417.0,24.0,0,0,0,0,5,0,5,5,4,0.8286423361924622,0.27402402402402404,0.2133762500013539
