run_id,score_lane,gene,pmid,tp,fp,fn,phenotype_capture,phenotype_abs_error,phenotype_supplied_fields,phenotype_positive_supplied_fields,phenotype_wrong_supplied_fields,carriers_asserted,carriers_supplied,carriers_supplied_exact,carriers_wrong_supplied,carriers_abs_error,carriers_missing_positive_fields,carriers_missing_gold_zero_fields,carriers_overcount_units,carriers_supplied_undercount_units,carriers_identity_miss_error,carriers_abstained_error,carriers_supplied_error,affected_asserted,affected_supplied,affected_supplied_exact,affected_wrong_supplied,affected_abs_error,affected_missing_positive_fields,affected_missing_gold_zero_fields,affected_overcount_units,affected_supplied_undercount_units,affected_identity_miss_error,affected_abstained_error,affected_supplied_error,unaffected_asserted,unaffected_supplied,unaffected_supplied_exact,unaffected_wrong_supplied,unaffected_abs_error,unaffected_missing_positive_fields,unaffected_missing_gold_zero_fields,unaffected_overcount_units,unaffected_supplied_undercount_units,unaffected_identity_miss_error,unaffected_abstained_error,unaffected_supplied_error
20260903_protocol_mixed02_candidate,paper-derived primary,SCN5A,30059973,182,3,3,all_na,445,0,0,0,185,181,181,0,72,4,0,0,0,3,69,0,185,0,0,0,445,185,0,0,0,3,442,0,185,0,0,0,0,0,185,0,0,0,0,0
20260902_false_zero_recovery_gold118,trusted legacy (paper plus linkage),KCNQ1,14678125,35,9,6,all_na,289,0,0,0,41,0,0,0,289,41,0,0,0,34,255,0,41,0,0,0,289,41,0,0,0,34,255,0,41,0,0,0,0,0,41,0,0,0,0,0
20260903_protocol_mixed01_candidate,paper-derived primary,KCNQ1,14678125,0,0,41,all_na,289,0,0,0,41,0,0,0,289,41,0,0,0,289,0,0,41,0,0,0,289,41,0,0,0,289,0,0,41,0,0,0,0,0,41,0,0,0,0,0
20260903_protocol_cont120_01_candidate,paper-derived primary,SCN5A,20031634,0,0,13,all_na,108,0,0,0,13,0,0,0,108,13,0,0,0,108,0,0,13,0,0,0,60,13,0,0,0,60,0,0,13,0,0,0,48,13,0,0,0,48,0,0
20260903_protocol_mixed01_candidate,paper-derived primary,MYBPC3,33673806,73,1,1,partial,93,55,55,1,74,73,72,1,3,1,0,0,2,1,0,2,74,55,54,1,93,19,0,0,2,1,90,2,74,0,0,0,0,0,74,0,0,0,0,0
20260902_false_zero_recovery_gold118,trusted legacy (paper plus linkage),KCNQ1,26496715,41,6,1,all_na,82,0,0,0,42,41,41,0,1,1,0,0,0,1,0,0,42,0,0,0,82,42,0,0,0,1,81,0,42,0,0,0,0,0,42,0,0,0,0,0
20260902_false_zero_recovery_gold118,trusted legacy (paper plus linkage),RYR2,25814417,1,0,0,all_supplied,68,2,2,2,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,24,0,0,24,0,0,0,24,1,1,0,1,44,0,0,0,44,0,0,44
20260902_false_zero_recovery_gold118,trusted legacy (paper plus linkage),RYR2,19926015,35,4,5,partial,58,2,2,1,40,1,0,1,58,39,0,1,0,5,52,1,40,1,1,0,45,35,4,0,0,5,40,0,40,1,0,1,13,6,33,1,0,0,12,1
20260902_false_zero_recovery_gold118,trusted legacy (paper plus linkage),RYR2,22677073,21,5,4,partial,41,2,2,0,25,3,3,0,40,22,0,0,0,6,34,0,25,2,2,0,41,23,0,0,0,6,35,0,25,0,0,0,0,0,25,0,0,0,0,0
20260903_protocol_cont120_01_candidate,paper-derived primary,RYR2,22677073,21,5,4,partial,41,2,2,0,25,3,3,0,40,22,0,0,0,6,34,0,25,2,2,0,41,23,0,0,0,6,35,0,25,0,0,0,0,0,25,0,0,0,0,0
20260902_false_zero_recovery_gold118,trusted legacy (paper plus linkage),KCNQ1,18808722,1,1,0,all_na,31,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,13,1,0,0,0,0,13,0,1,0,0,0,18,1,0,0,0,0,18,0
20260903_protocol_mixed01_candidate,paper-derived primary,SCN5A,16764707,8,0,2,all_na,30,0,0,0,10,8,8,0,8,2,0,0,0,8,0,0,10,0,0,0,30,10,0,0,0,8,22,0,10,0,0,0,0,0,10,0,0,0,0,0
20260903_protocol_cont120_01_candidate,paper-derived primary,MYBPC3,21302287,25,5,3,partial,29,11,11,0,28,16,16,0,24,12,0,0,0,6,18,0,28,11,11,0,29,17,0,0,0,6,23,0,28,0,0,0,0,0,28,0,0,0,0,0
20260902_false_zero_recovery_gold118,trusted legacy (paper plus linkage),RYR2,19398665,27,1,0,all_na,27,0,0,0,27,0,0,0,27,27,0,0,0,0,27,0,27,0,0,0,27,27,0,0,0,0,27,0,27,0,0,0,0,0,27,0,0,0,0,0
20260903_protocol_cont120_01_candidate,paper-derived primary,RYR2,19398665,27,1,0,all_na,27,0,0,0,27,0,0,0,27,27,0,0,0,0,27,0,27,0,0,0,27,27,0,0,0,0,27,0,27,0,0,0,0,0,27,0,0,0,0,0
20260902_false_zero_recovery_gold118,trusted legacy (paper plus linkage),KCNQ1,21129503,1,0,0,all_na,26,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,26,1,0,0,0,0,26,0,1,0,0,0,0,0,1,0,0,0,0,0
20260902_false_zero_recovery_gold118,trusted legacy (paper plus linkage),RYR2,30403697,21,0,0,partial,26,8,7,1,21,11,8,3,19,10,0,0,4,0,15,4,21,6,6,0,17,15,0,0,0,0,17,0,20,2,1,1,9,7,11,0,1,0,8,1
20260903_protocol_mixed01_candidate,paper-derived primary,SCN5A,15176425,0,0,5,all_na,26,0,0,0,5,0,0,0,26,5,0,0,0,26,0,0,5,0,0,0,20,5,0,0,0,20,0,0,5,0,0,0,6,2,3,0,0,6,0,0
20260902_false_zero_recovery_gold118,trusted legacy (paper plus linkage),SCN5A,15671429,4,8,0,all_na,25,0,0,0,4,0,0,0,25,4,0,0,0,0,25,0,4,0,0,0,10,4,0,0,0,0,10,0,4,0,0,0,15,1,3,0,0,0,15,0
20260903_protocol_cont120_01_candidate,paper-derived primary,SCN5A,15671429,4,1,0,partial,23,2,2,0,4,2,1,1,24,2,0,1,0,0,23,1,4,2,2,0,8,2,0,0,0,0,8,0,4,0,0,0,15,1,3,0,0,0,15,0
20260903_protocol_mixed02_candidate,paper-derived primary,RYR2,21954897,4,0,0,partial,23,1,1,0,4,4,4,0,0,0,0,0,0,0,0,0,4,1,1,0,23,3,0,0,0,0,23,0,4,0,0,0,0,0,4,0,0,0,0,0
20260903_protocol_cont120_01_candidate,paper-derived primary,KCNQ1,27810088,1,0,0,all_na,20,0,0,0,1,0,0,0,20,1,0,0,0,0,20,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,20,1,0,0,0,0,20,0
20260903_protocol_cont120_01_candidate,paper-derived primary,SCN5A,25163546,0,0,20,all_na,20,0,0,0,20,0,0,0,20,20,0,0,0,20,0,0,20,0,0,0,20,20,0,0,0,20,0,0,20,0,0,0,0,0,20,0,0,0,0,0
20260903_protocol_cont120_01_candidate,paper-derived primary,KCNH2,19490267,2,3,0,partial,19,1,1,0,2,2,2,0,0,0,0,0,0,0,0,0,2,1,1,0,3,1,0,0,0,0,3,0,2,0,0,0,16,1,1,0,0,0,16,0
