gene,scope,variants,population_only,affected,unaffected_literature,unaffected_gnomad,mean,variance,historical_mse,normalized_weighted_mse,weighted_mae,alpha_empirical,beta_empirical,strength,pooled_carrier_fraction,equal_variant_fraction_mean
HNF1A,all_observed_full_locus,8063,7838,740,115,13994756,0.016824096220410176,0.005281381162173407,0.005281381162173407,0.013082264974481991,0.03259302893248329,0.03586820926918613,2.0960863872382065,2.1319545965073927,5.2873718767976615e-05,0.019368181788411567
HNF1A,all_observed_footprint,2517,2292,740,115,6981345,0.04971021271030305,0.016202944020418962,0.016202944020418962,0.03701943571434003,0.09080327859830611,0.09521814581833209,1.8202463156442712,1.9154644614626033,0.0001059837873449629,0.0620443582677642
HNF1A,coding_or_splice,1430,1205,740,115,3821193,0.08858986583334491,0.027030500350653786,0.027030500350653786,0.06252895809316718,0.15116397635765907,0.17603329728574615,1.811025782551892,1.9870590798376382,0.0001936134763352004,0.10920674808388986
HNF1A,literature_only_refreshed,225,0,740,115,1292025,0.47966781308718515,0.07660769192934667,0.07660769192934667,0.15097411732189317,0.34845191229982253,1.0830820443516895,1.1749015326177055,2.2579835769693952,0.0005723655714374111,0.6940695544887221
HNF1A,all_allele_count_proxy,8063,7838,740,115,19339967,0.01679255613485654,0.005281506993685818,0.005281506993685818,0.013058762609424044,0.032533806401601945,0.035702803608292366,2.090406129514972,2.1261089331232643,3.826104185230597e-05,0.01936779696210973
HNF1A,all_normalized_mse,8063,7838,740,115,13994756,0.016824096220410176,0.013082264974481991,0.005281381162173407,0.013082264974481991,0.03259302893248329,0.004448072639268456,0.25993894589622174,0.2643870185354902,5.2873718767976615e-05,0.019368181788411567
HNF1A,all_protein_aggregate_grain,7984,7759,740,115,13994756,0.016901322766725586,0.005333109606378522,0.005333109606378522,0.013141010407264243,0.03273793676235341,0.03575590528916044,2.0798125494802346,2.115568454769395,5.2873718767976615e-05,0.019559825871738785
GCK,all_observed_full_locus,14553,14181,898,80,8931920,0.01989008284736696,0.0061680512365331844,0.0061680512365331844,0.016520228310190788,0.038678409494022514,0.0429736252850879,2.117581743682454,2.160555368967542,0.00010052728688942826,0.021070878246206313
GCK,all_observed_footprint,2551,2179,898,80,1313049,0.11169617716790926,0.03129823670861896,0.03129823670861896,0.08251779032717475,0.1896600351403824,0.24239758761413027,1.9277535649158422,2.1701511525299724,0.0006833953944629752,0.12020560216269718
GCK,coding_or_splice,1215,845,896,79,333403,0.23741848099942853,0.054531736756782447,0.054531736756782447,0.14556143176468592,0.32762456138131246,0.5508351692722059,1.7692671536532438,2.32010232292545,0.002679602126934188,0.25237668200707364
