gene,predictor,scope,all_gene_units,available_units,population_only_units,posterior_spearman,prior_spearman,prior_reason
HNF1A,alphamissense,all_available,8063,749,667,0.2077348937357105,,shared empirical prior is constant within gene; no predictor used in fit
HNF1A,alphamissense,three_predictor_common_rows,8063,748,667,0.20937671879429645,,shared empirical prior is constant within gene; no predictor used in fit
HNF1A,gpn_star_m447_llr_calibrated,all_available,8063,1135,1046,-0.26119181433767974,,shared empirical prior is constant within gene; no predictor used in fit
HNF1A,gpn_star_m447_llr_calibrated,three_predictor_common_rows,8063,748,667,-0.1415838332567742,,shared empirical prior is constant within gene; no predictor used in fit
HNF1A,alphagenome_avi,all_available,8063,1135,1046,0.28925189003559065,,shared empirical prior is constant within gene; no predictor used in fit
HNF1A,alphagenome_avi,three_predictor_common_rows,8063,748,667,0.2151659082427707,,shared empirical prior is constant within gene; no predictor used in fit
GCK,alphamissense,all_available,14553,467,384,0.4080014857841314,,shared empirical prior is constant within gene; no predictor used in fit
GCK,alphamissense,three_predictor_common_rows,14553,467,384,0.4080014857841314,,shared empirical prior is constant within gene; no predictor used in fit
GCK,gpn_star_m447_llr_calibrated,all_available,14553,760,666,-0.44814967562782543,,shared empirical prior is constant within gene; no predictor used in fit
GCK,gpn_star_m447_llr_calibrated,three_predictor_common_rows,14553,467,384,-0.3153388819136877,,shared empirical prior is constant within gene; no predictor used in fit
GCK,alphagenome_avi,all_available,14553,760,666,0.4685762728244646,,shared empirical prior is constant within gene; no predictor used in fit
GCK,alphagenome_avi,three_predictor_common_rows,14553,467,384,0.3501061903519893,,shared empirical prior is constant within gene; no predictor used in fit
LDLR,alphamissense,all_available,14729,1257,1037,0.3293415018125386,,shared empirical prior is constant within gene; no predictor used in fit
LDLR,alphamissense,three_predictor_common_rows,14729,1252,1037,0.3268257884341401,,shared empirical prior is constant within gene; no predictor used in fit
LDLR,gpn_star_m447_llr_calibrated,all_available,14729,1804,1553,-0.3757016233545787,,shared empirical prior is constant within gene; no predictor used in fit
LDLR,gpn_star_m447_llr_calibrated,three_predictor_common_rows,14729,1252,1037,-0.29925353399370375,,shared empirical prior is constant within gene; no predictor used in fit
LDLR,alphagenome_avi,all_available,14729,1804,1553,0.37236929524473833,,shared empirical prior is constant within gene; no predictor used in fit
LDLR,alphagenome_avi,three_predictor_common_rows,14729,1252,1037,0.3111320023631968,,shared empirical prior is constant within gene; no predictor used in fit
BRCA2,alphamissense,all_available,29132,0,0,,,shared empirical prior is constant within gene; no predictor used in fit
BRCA2,alphamissense,three_predictor_common_rows,29132,0,0,,,shared empirical prior is constant within gene; no predictor used in fit
BRCA2,gpn_star_m447_llr_calibrated,all_available,29132,5734,4323,-0.11921516617596334,,shared empirical prior is constant within gene; no predictor used in fit
BRCA2,gpn_star_m447_llr_calibrated,three_predictor_common_rows,29132,0,0,,,shared empirical prior is constant within gene; no predictor used in fit
BRCA2,alphagenome_avi,all_available,29132,5734,4323,0.1527134862087243,,shared empirical prior is constant within gene; no predictor used in fit
BRCA2,alphagenome_avi,three_predictor_common_rows,29132,0,0,,,shared empirical prior is constant within gene; no predictor used in fit
KCNQ1,alphamissense,all_available,114136,831,666,0.34359669210069343,,shared empirical prior is constant within gene; no predictor used in fit
KCNQ1,alphamissense,three_predictor_common_rows,114136,829,666,0.34020654154255986,,shared empirical prior is constant within gene; no predictor used in fit
KCNQ1,gpn_star_m447_llr_calibrated,all_available,114136,1606,1412,-0.5091912120102042,,shared empirical prior is constant within gene; no predictor used in fit
KCNQ1,gpn_star_m447_llr_calibrated,three_predictor_common_rows,114136,829,666,-0.3164384175399587,,shared empirical prior is constant within gene; no predictor used in fit
KCNQ1,alphagenome_avi,all_available,114136,1606,1412,0.48615217209924055,,shared empirical prior is constant within gene; no predictor used in fit
KCNQ1,alphagenome_avi,three_predictor_common_rows,114136,829,666,0.3144730869384868,,shared empirical prior is constant within gene; no predictor used in fit
