scenario,supported_variants,shared_with_primary,median_density,mean_abs_change_from_primary,max_abs_change_from_primary
1V4S_ca_h2,614,614,0.1652884137663066,0.03891401999169572,0.22741194942150506
1V4S_ca_h3,614,614,0.17623040972508447,0.02003526997837185,0.0792715776304106
1V4S_ca_h5,614,614,0.18588904877242132,0.03371412541416124,0.15737416151490746
1V4S_com_h2,614,614,0.15944725040860408,0.03920661286089481,0.22028631270119797
1V4S_com_h3,614,614,0.1823936365022119,0.0,0.0
1V4S_com_h5,614,614,0.19057101806758378,0.029622857960760283,0.13468804943199547
1V4T_ca_h2,614,614,0.16216980293522734,0.0422615441865738,0.1807816884004325
1V4T_ca_h3,614,614,0.17474215056671333,0.02455431987496953,0.14238029358994211
1V4T_ca_h5,614,614,0.18497108049919583,0.034692195878028714,0.15544427891391688
1V4T_com_h2,614,614,0.15997073940467393,0.0466074975163952,0.24042326634730177
1V4T_com_h3,614,614,0.18072468503711664,0.015162026772243955,0.14238029358994211
1V4T_com_h5,614,614,0.18813166722113928,0.0310660202133897,0.14693269190168728
1V4T_loop_missing_control,585,585,0.17617127241942895,0.013656139230501522,0.13950505850396813
1V4T_polymer_legacy_parameters,614,614,0.17877205297133678,0.016845332556184735,0.1798780225222942
AF_P35557_ca_h2,628,609,0.1625500664572892,0.038957715602663,0.21978594005320623
AF_P35557_ca_h3,628,609,0.17251021425720287,0.02005386156616144,0.10133723074919149
AF_P35557_ca_h5,628,609,0.18312923283795363,0.033592407206025056,0.16018195959508158
AF_P35557_com_h2,628,609,0.15877491959227447,0.03989746186971979,0.21097570206703237
AF_P35557_com_h3,628,609,0.1798543320960641,0.006794402623451743,0.11069818941829551
AF_P35557_com_h5,628,609,0.18850316126744623,0.030335795556821518,0.1528354595850369
