model,support_stratum,n_variants,mae_empirical_posterior,mse_empirical_posterior,mae_observed_fraction,mse_observed_fraction,mean_beta_binomial_nll,spearman_observed_fraction,mean_prediction,mean_observed_fraction,cohort
am_fit,all,610,0.14704496645109666,0.03886652233446715,0.3137203974521341,0.17912658928323355,1.0008277861429686,0.5016035830077412,0.17092025816665066,0.32627179573732285,all_common
am_fit,kish_ge_5,604,0.14814851132743903,0.039239380394220584,0.3163854597437002,0.18088511317861888,1.0097297867086343,0.4974878325006796,0.17216677602822852,0.3295129062910049,all_common
am_fit,kish_lt_5,6,0.035954782232627415,0.001332144319288369,0.04543746010114499,0.0021018504811137484,0.10469306253258863,,0.04543746010114499,0.0,all_common
am_fit,origin:literature_and_population,79,0.20584197218594535,0.06728660193948888,0.3286224929959022,0.14396176653997683,2.6600367359567265,0.46343735564415056,0.20565033893617374,0.5075954154937892,all_common
am_fit,origin:literature_only,163,0.18660516076306025,0.060538999664897,0.7249050379422818,0.5415220341420331,2.01702691510725,0.12232596302438428,0.25009960976175233,0.9750046477040343,all_common
am_fit,origin:population_only,368,0.11690019708722951,0.023165978601704166,0.12839332694166725,0.02615801179609489,0.19452896805474887,,0.12839332694166725,0.0,all_common
am_plus_density,all,610,0.1467551598719807,0.038824192023847,0.31181421782618063,0.17828298440799398,0.9949853217819988,0.5109144756069729,0.17094454439549167,0.32627179573732285,all_common
am_plus_density,kish_ge_5,604,0.1479603931208873,0.039203142108957166,0.3145649118044152,0.1800417085593999,1.0040668314313317,0.5066979789351952,0.1722958707568651,0.3295129062910049,all_common
am_plus_density,kish_lt_5,6,0.025428346148718483,0.0006765501227572195,0.03491102401723605,0.0012380864997967344,0.08078001708248972,,0.03491102401723605,0.0,all_common
am_plus_density,origin:literature_and_population,79,0.20274208252122516,0.06601891231050795,0.3253491246843517,0.1417367057158192,2.6464728957752954,0.4703219112133797,0.20969371861515243,0.5075954154937892,all_common
am_plus_density,origin:literature_only,163,0.19073094116419434,0.06126553630211476,0.7230658935245738,0.5397848443767737,2.0100648159049705,0.09068740326569905,0.2519387541794603,0.9750046477040343,all_common
am_plus_density,origin:population_only,368,0.11525782498089067,0.023046143056445208,0.1267509548353284,0.026006769304110156,0.19084000687027344,,0.1267509548353284,0.0,all_common
am_plus_sequence,all,610,0.1467475739512802,0.038657004369852414,0.3112741833529357,0.1775662702163462,0.9961919394778932,0.5165963594535019,0.1709735725296025,0.32627179573732285,all_common
am_plus_sequence,kish_ge_5,604,0.14790328193941205,0.03903153663941366,0.3139700628463637,0.17931413904300283,1.0051736617002638,0.5125252963957647,0.1722757373459774,0.3295129062910049,all_common
am_plus_sequence,kish_lt_5,6,0.030406303146008794,0.0009540892340205945,0.03988898101452636,0.00161414166624076,0.09203190242592847,,0.03988898101452636,0.0,all_common
am_plus_sequence,origin:literature_and_population,79,0.20406942159266983,0.06618987341501797,0.3263790563374426,0.1422620198394532,2.653741402465021,0.4709968676417355,0.2084696188789237,0.5075954154937892,all_common
am_plus_sequence,origin:literature_only,163,0.19101795279729827,0.061618337534182,0.7215044485257629,0.537948756786557,2.0104016642963014,0.08409525776604226,0.2535993746422641,0.9750046477040343,all_common
am_plus_sequence,origin:population_only,368,0.11483317798505545,0.022576042521064918,0.12632630783949317,0.02551923344686301,0.19113054621326422,,0.12632630783949317,0.0,all_common
density_fit,all,610,0.1736546739930722,0.04547069624272899,0.341146768832343,0.20033028127483538,1.088949209107335,0.3632751321079781,0.17097714826868707,0.32627179573732285,all_common
density_fit,kish_ge_5,604,0.1748614661252666,0.04589495844666961,0.3439231909344455,0.2022824904669152,1.098282953522312,0.3562066050244935,0.17206314367644868,0.3295129062910049,all_common
density_fit,kish_lt_5,6,0.05217093268550186,0.0027616343793732887,0.06165361055401943,0.003807889272133318,0.14935227133298487,,0.06165361055401943,0.0,all_common
density_fit,origin:literature_and_population,79,0.2097794550889471,0.07448513716767897,0.3417228674261318,0.16028193009536398,2.6562508326739307,0.2956922752951437,0.19424214199895032,0.5075954154937892,all_common
density_fit,origin:literature_only,163,0.23326348413825557,0.07847432186897568,0.7701786773338662,0.6086998633021654,2.229911252123133,0.010562176895395242,0.20482597037016811,0.9750046477040343,all_common
density_fit,origin:population_only,368,0.13949681051416182,0.024623598932540784,0.15098994036859956,0.02804652549419263,0.2471186621689216,,0.15098994036859956,0.0,all_common
density_unfitted,all,610,0.17295879801966443,0.044681431475093875,0.3406951998255475,0.19531293182916573,1.0633271933314137,0.36517674556348817,0.18063097796269556,0.32627179573732285,all_common
density_unfitted,kish_ge_5,604,0.17447762006847478,0.045120406206641164,0.34378607873466277,0.19724404307771953,1.073151587907469,0.3581415085110233,0.18213181493277586,0.3295129062910049,all_common
density_unfitted,kish_lt_5,6,0.02006404510609147,0.0004913084993330292,0.02954672297460904,0.000914399474751908,0.07433813934185733,,0.02954672297460904,0.0,all_common
density_unfitted,origin:literature_and_population,79,0.20129301779256908,0.06991822682971469,0.3322245403129608,0.15215994268699173,2.598370752047426,0.29623224043782836,0.2060183181748926,0.5075954154937892,all_common
density_unfitted,origin:literature_only,163,0.21810538432852955,0.07127069505718457,0.7564252802551837,0.5869546049115659,2.1413511684584314,0.010562176895395242,0.2185793674488505,0.9750046477040343,all_common
density_unfitted,origin:population_only,368,0.14687918679573925,0.0274864401791813,0.15837231665017698,0.031105033540580213,0.2562990708198135,,0.15837231665017698,0.0,all_common
empirical_prior,all,610,0.16132334896144596,0.07306130092292934,0.3305604934764866,0.28664492963348026,1.897708149335653,,0.0198900828473669,0.32627179573732285,all_common
empirical_prior,kish_ge_5,604,0.1628225139678956,0.073785768839432,0.33364662338339846,0.28948846586763066,1.9160934501349263,,0.019890082847366902,0.3295129062910049,all_common
empirical_prior,kish_lt_5,6,0.010407404978849332,0.00013153066166209969,0.0198900828473669,0.0003956153956751189,0.04692120220876794,,0.0198900828473669,0.0,all_common
empirical_prior,origin:literature_and_population,79,0.3494712780447992,0.16972058099538614,0.489097170394798,0.3068471700543919,4.8177046340528715,,0.019890082847366902,0.5075954154937892,all_common
