gene,stratum,target,n,spearman_rho
HNF1A,all_AM_present,prior_mean,145,1.0
HNF1A,all_AM_present,count_fraction,145,0.5867537440098719
HNF1A,all_AM_present,posterior_mean,145,0.9034936922269577
HNF1A,missense_AM_present,prior_mean,144,1.0
HNF1A,missense_AM_present,count_fraction,144,0.5828234722804897
HNF1A,missense_AM_present,posterior_mean,144,0.9041095913418975
HNF1A,nontruncating_AM_present,prior_mean,145,1.0
HNF1A,nontruncating_AM_present,count_fraction,145,0.5867537440098719
HNF1A,nontruncating_AM_present,posterior_mean,145,0.9034936922269577
HNF1A,truncating_AM_present,prior_mean,0,
HNF1A,truncating_AM_present,count_fraction,0,
HNF1A,truncating_AM_present,posterior_mean,0,
GCK,all_AM_present,prior_mean,255,1.0
GCK,all_AM_present,count_fraction,255,0.27558998652014144
GCK,all_AM_present,posterior_mean,255,0.9086132884024954
GCK,missense_AM_present,prior_mean,252,0.9999999999999998
GCK,missense_AM_present,count_fraction,252,0.2761738147094966
GCK,missense_AM_present,posterior_mean,252,0.9079353533764368
GCK,nontruncating_AM_present,prior_mean,255,1.0
GCK,nontruncating_AM_present,count_fraction,255,0.27558998652014144
GCK,nontruncating_AM_present,posterior_mean,255,0.9086132884024954
GCK,truncating_AM_present,prior_mean,0,
GCK,truncating_AM_present,count_fraction,0,
GCK,truncating_AM_present,posterior_mean,0,
LDLR,all_AM_present,prior_mean,440,0.9999999999999999
LDLR,all_AM_present,count_fraction,440,0.48536671771595097
LDLR,all_AM_present,posterior_mean,440,0.890963748244296
LDLR,missense_AM_present,prior_mean,434,1.0
LDLR,missense_AM_present,count_fraction,434,0.48074192974500646
LDLR,missense_AM_present,posterior_mean,434,0.8900701360825596
LDLR,nontruncating_AM_present,prior_mean,440,0.9999999999999999
LDLR,nontruncating_AM_present,count_fraction,440,0.48536671771595097
LDLR,nontruncating_AM_present,posterior_mean,440,0.890963748244296
LDLR,truncating_AM_present,prior_mean,0,
LDLR,truncating_AM_present,count_fraction,0,
LDLR,truncating_AM_present,posterior_mean,0,
BRCA2,all_AM_present,prior_mean,3682,0.9973804171903855
BRCA2,all_AM_present,count_fraction,3682,0.10235766076957438
BRCA2,all_AM_present,posterior_mean,3682,0.5742278860424589
BRCA2,missense_AM_present,prior_mean,3631,0.9999999932941315
BRCA2,missense_AM_present,count_fraction,3631,0.10221133596909196
BRCA2,missense_AM_present,posterior_mean,3631,0.5779637575000969
BRCA2,nontruncating_AM_present,prior_mean,3675,0.9999999922627301
BRCA2,nontruncating_AM_present,count_fraction,3675,0.10225049798111376
BRCA2,nontruncating_AM_present,posterior_mean,3675,0.5737209724352086
BRCA2,truncating_AM_present,prior_mean,7,1.0
BRCA2,truncating_AM_present,count_fraction,7,0.222717701593687
BRCA2,truncating_AM_present,posterior_mean,7,0.7857142857142859
KCNQ1,all_AM_present,prior_mean,400,1.0
KCNQ1,all_AM_present,count_fraction,400,0.39528979094198263
KCNQ1,all_AM_present,posterior_mean,400,0.7324148335890825
KCNQ1,missense_AM_present,prior_mean,396,1.0
KCNQ1,missense_AM_present,count_fraction,396,0.3969659493093225
KCNQ1,missense_AM_present,posterior_mean,396,0.7273535743835239
KCNQ1,nontruncating_AM_present,prior_mean,400,1.0
KCNQ1,nontruncating_AM_present,count_fraction,400,0.39528979094198263
KCNQ1,nontruncating_AM_present,posterior_mean,400,0.7324148335890825
KCNQ1,truncating_AM_present,prior_mean,0,
KCNQ1,truncating_AM_present,count_fraction,0,
KCNQ1,truncating_AM_present,posterior_mean,0,
