gene,band,variants,pct
HNF1A,prior >=90% (n<=1),101,43.34763948497854
HNF1A,prior >50% to <90% (n=2-9),97,41.63090128755365
HNF1A,equal weight (n=10),5,2.1459227467811157
HNF1A,counts >50% to <90% (n=11-89),25,10.72961373390558
HNF1A,counts >=90% (n>=90),5,2.1459227467811157
GCK,prior >=90% (n<=1),185,47.31457800511509
GCK,prior >50% to <90% (n=2-9),184,47.05882352941176
GCK,equal weight (n=10),5,1.278772378516624
GCK,counts >50% to <90% (n=11-89),16,4.092071611253197
GCK,counts >=90% (n>=90),1,0.2557544757033248
LDLR,prior >=90% (n<=1),363,41.676234213547644
LDLR,prior >50% to <90% (n=2-9),375,43.05396096440873
LDLR,equal weight (n=10),11,1.2629161882893225
LDLR,counts >50% to <90% (n=11-89),107,12.284730195177957
LDLR,counts >=90% (n>=90),15,1.7221584385763489
BRCA2,prior >=90% (n<=1),3802,63.77054679637706
BRCA2,prior >50% to <90% (n=2-9),1884,31.600134183160012
BRCA2,equal weight (n=10),25,0.41932237504193226
BRCA2,counts >50% to <90% (n=11-89),186,3.1197584703119756
BRCA2,counts >=90% (n>=90),65,1.0902381751090238
KCNQ1,prior >=90% (n<=1),246,35.60057887120116
KCNQ1,prior >50% to <90% (n=2-9),298,43.12590448625181
KCNQ1,equal weight (n=10),12,1.7366136034732274
KCNQ1,counts >50% to <90% (n=11-89),113,16.35311143270622
KCNQ1,counts >=90% (n>=90),22,3.183791606367583
