gene,comparison,predictor,n,total_variants,spearman_rho
HNF1A,all_available,alphamissense_frozen,145,233,1.0
HNF1A,all_available,gpn_star_m447_llr_calibrated,163,233,-0.7282862609667872
HNF1A,all_available,alphagenome_avi,163,233,0.6899092606708064
HNF1A,same_single_allele_missense_variants,alphamissense_frozen,139,233,1.0
HNF1A,same_single_allele_missense_variants,gpn_star_m447_llr_calibrated,139,233,-0.7943394114681716
HNF1A,same_single_allele_missense_variants,alphagenome_avi,139,233,0.7834601922279356
GCK,all_available,alphamissense_frozen,255,391,1.0
GCK,all_available,gpn_star_m447_llr_calibrated,274,391,-0.5054521256152571
GCK,all_available,alphagenome_avi,274,391,0.7637271134131474
GCK,same_single_allele_missense_variants,alphamissense_frozen,244,391,1.0
GCK,same_single_allele_missense_variants,gpn_star_m447_llr_calibrated,244,391,-0.5346042277915749
GCK,same_single_allele_missense_variants,alphagenome_avi,244,391,0.7552164779555209
LDLR,all_available,alphamissense_frozen,440,871,0.9999999999999999
LDLR,all_available,gpn_star_m447_llr_calibrated,508,871,-0.6107067112178477
LDLR,all_available,alphagenome_avi,508,871,0.685723337272433
LDLR,same_single_allele_missense_variants,alphamissense_frozen,426,871,1.0
LDLR,same_single_allele_missense_variants,gpn_star_m447_llr_calibrated,426,871,-0.6903711014733057
LDLR,same_single_allele_missense_variants,alphagenome_avi,426,871,0.7481309948230032
BRCA2,all_available,alphamissense_frozen,3682,5962,0.9973804171903854
BRCA2,all_available,gpn_star_m447_llr_calibrated,3619,5962,-0.6361144327404307
BRCA2,all_available,alphagenome_avi,3619,5962,0.7586579986740356
BRCA2,same_single_allele_missense_variants,alphamissense_frozen,3167,5962,1.0
BRCA2,same_single_allele_missense_variants,gpn_star_m447_llr_calibrated,3167,5962,-0.6659733948008566
BRCA2,same_single_allele_missense_variants,alphagenome_avi,3167,5962,0.6805977894106346
KCNQ1,all_available,alphamissense_frozen,400,691,1.0
KCNQ1,all_available,gpn_star_m447_llr_calibrated,466,691,-0.6122858396423505
KCNQ1,all_available,alphagenome_avi,466,691,0.585763401124807
KCNQ1,same_single_allele_missense_variants,alphamissense_frozen,391,691,1.0
KCNQ1,same_single_allele_missense_variants,gpn_star_m447_llr_calibrated,391,691,-0.7197625489334549
KCNQ1,same_single_allele_missense_variants,alphagenome_avi,391,691,0.7412168759098569
