gene,metric,bin_left,bin_right,variants,pct
HNF1A,prior_mean,0.0,0.05,55,23.605150214592275
HNF1A,prior_mean,0.05,0.1,1,0.4291845493562232
HNF1A,prior_mean,0.1,0.15000000000000002,2,0.8583690987124464
HNF1A,prior_mean,0.15000000000000002,0.2,1,0.4291845493562232
HNF1A,prior_mean,0.2,0.25,1,0.4291845493562232
HNF1A,prior_mean,0.25,0.30000000000000004,1,0.4291845493562232
HNF1A,prior_mean,0.30000000000000004,0.35000000000000003,0,0.0
HNF1A,prior_mean,0.35000000000000003,0.4,0,0.0
HNF1A,prior_mean,0.4,0.45,2,0.8583690987124464
HNF1A,prior_mean,0.45,0.5,0,0.0
HNF1A,prior_mean,0.5,0.55,3,1.2875536480686696
HNF1A,prior_mean,0.55,0.6000000000000001,2,0.8583690987124464
HNF1A,prior_mean,0.6000000000000001,0.65,3,1.2875536480686696
HNF1A,prior_mean,0.65,0.7000000000000001,0,0.0
HNF1A,prior_mean,0.7000000000000001,0.75,2,0.8583690987124464
HNF1A,prior_mean,0.75,0.8,5,2.1459227467811157
HNF1A,prior_mean,0.8,0.8500000000000001,74,31.759656652360515
HNF1A,prior_mean,0.8500000000000001,0.9,63,27.03862660944206
HNF1A,prior_mean,0.9,0.9500000000000001,18,7.725321888412017
HNF1A,prior_mean,0.9500000000000001,1.0,0,0.0
HNF1A,count_fraction,0.0,0.05,13,5.579399141630901
HNF1A,count_fraction,0.05,0.1,5,2.1459227467811157
HNF1A,count_fraction,0.1,0.15000000000000002,4,1.7167381974248928
HNF1A,count_fraction,0.15000000000000002,0.2,5,2.1459227467811157
HNF1A,count_fraction,0.2,0.25,1,0.4291845493562232
HNF1A,count_fraction,0.25,0.30000000000000004,6,2.575107296137339
HNF1A,count_fraction,0.30000000000000004,0.35000000000000003,6,2.575107296137339
HNF1A,count_fraction,0.35000000000000003,0.4,0,0.0
HNF1A,count_fraction,0.4,0.45,2,0.8583690987124464
HNF1A,count_fraction,0.45,0.5,0,0.0
HNF1A,count_fraction,0.5,0.55,12,5.150214592274678
HNF1A,count_fraction,0.55,0.6000000000000001,2,0.8583690987124464
HNF1A,count_fraction,0.6000000000000001,0.65,0,0.0
HNF1A,count_fraction,0.65,0.7000000000000001,6,2.575107296137339
HNF1A,count_fraction,0.7000000000000001,0.75,0,0.0
HNF1A,count_fraction,0.75,0.8,6,2.575107296137339
HNF1A,count_fraction,0.8,0.8500000000000001,6,2.575107296137339
HNF1A,count_fraction,0.8500000000000001,0.9,1,0.4291845493562232
HNF1A,count_fraction,0.9,0.9500000000000001,1,0.4291845493562232
HNF1A,count_fraction,0.9500000000000001,1.0,157,67.38197424892704
HNF1A,posterior_mean,0.0,0.05,13,5.579399141630901
HNF1A,posterior_mean,0.05,0.1,25,10.729613733905579
HNF1A,posterior_mean,0.1,0.15000000000000002,12,5.150214592274678
HNF1A,posterior_mean,0.15000000000000002,0.2,4,1.7167381974248928
HNF1A,posterior_mean,0.2,0.25,1,0.4291845493562232
HNF1A,posterior_mean,0.25,0.30000000000000004,4,1.7167381974248928
HNF1A,posterior_mean,0.30000000000000004,0.35000000000000003,3,1.2875536480686696
HNF1A,posterior_mean,0.35000000000000003,0.4,1,0.4291845493562232
HNF1A,posterior_mean,0.4,0.45,1,0.4291845493562232
HNF1A,posterior_mean,0.45,0.5,0,0.0
HNF1A,posterior_mean,0.5,0.55,2,0.8583690987124464
HNF1A,posterior_mean,0.55,0.6000000000000001,4,1.7167381974248928
HNF1A,posterior_mean,0.6000000000000001,0.65,3,1.2875536480686696
HNF1A,posterior_mean,0.65,0.7000000000000001,3,1.2875536480686696
HNF1A,posterior_mean,0.7000000000000001,0.75,3,1.2875536480686696
HNF1A,posterior_mean,0.75,0.8,7,3.004291845493562
HNF1A,posterior_mean,0.8,0.8500000000000001,51,21.888412017167383
HNF1A,posterior_mean,0.8500000000000001,0.9,59,25.321888412017167
HNF1A,posterior_mean,0.9,0.9500000000000001,17,7.296137339055794
HNF1A,posterior_mean,0.9500000000000001,1.0,20,8.583690987124463
GCK,prior_mean,0.0,0.05,0,0.0
GCK,prior_mean,0.05,0.1,11,2.813299232736573
GCK,prior_mean,0.1,0.15000000000000002,9,2.3017902813299234
GCK,prior_mean,0.15000000000000002,0.2,10,2.557544757033248
GCK,prior_mean,0.2,0.25,3,0.7672634271099744
GCK,prior_mean,0.25,0.30000000000000004,7,1.7902813299232736
GCK,prior_mean,0.30000000000000004,0.35000000000000003,4,1.0230179028132993
GCK,prior_mean,0.35000000000000003,0.4,2,0.5115089514066496
GCK,prior_mean,0.4,0.45,2,0.5115089514066496
GCK,prior_mean,0.45,0.5,9,2.3017902813299234
GCK,prior_mean,0.5,0.55,4,1.0230179028132993
GCK,prior_mean,0.55,0.6000000000000001,6,1.5345268542199488
GCK,prior_mean,0.6000000000000001,0.65,2,0.5115089514066496
GCK,prior_mean,0.65,0.7000000000000001,2,0.5115089514066496
GCK,prior_mean,0.7000000000000001,0.75,12,3.0690537084398977
GCK,prior_mean,0.75,0.8,9,2.3017902813299234
GCK,prior_mean,0.8,0.8500000000000001,18,4.603580562659847
GCK,prior_mean,0.8500000000000001,0.9,22,5.626598465473146
GCK,prior_mean,0.9,0.9500000000000001,212,54.21994884910486
GCK,prior_mean,0.9500000000000001,1.0,47,12.020460358056265
