pmid,rows,affected,unaffected
32893267,270,804.0,0.0
23856471,3,734.0,162.0
21244686,2,493.0,0.0
39166328,2,449.0,100.0
20659946,3,324.0,0.0
17192539,1,243.0,0.0
28720088,2,227.0,0.0
30758498,97,211.0,304.0
23092362,3,180.0,0.0
19880070,1,175.0,26.0
22199116,30,150.0,0.0
10973849,82,147.0,0.0
19822806,1,135.0,30.0
21350584,8,123.0,0.0
42128250,1,122.0,0.0
19841300,91,112.0,103.0
25479336,1,97.0,0.0
21871251,1,95.0,0.0
26496715,45,90.0,0.0
25087618,1,88.0,26.0
28264985,1,85.0,0.0
11216980,2,84.0,237.0
38908219,4,80.0,22.0
29925740,34,80.0,0.0
19185812,1,78.0,0.0
26318259,5,76.0,0.0
16754261,1,66.0,0.0
34505893,13,66.0,73.0
38367891,3,62.0,0.0
37975542,26,59.0,0.0
16414944,54,54.0,0.0
22949429,50,50.0,0.0
33013630,3,47.0,0.0
23844633,1,45.0,0.0
32681117,34,43.0,0.0
23098067,13,43.0,0.0
36496179,7,42.0,79.0
18308161,1,41.0,15.0
14499861,1,39.0,0.0
29439887,6,38.0,42.0
23158531,1,34.0,10.0
24606995,34,34.0,0.0
29740400,13,34.0,0.0
24552659,6,33.0,73.0
15541256,3,32.0,0.0
24217263,8,32.0,0.0
28438721,11,32.0,0.0
38489124,5,32.0,0.0
34750360,1,31.0,8.0
17023080,4,31.0,0.0
41881367,1,30.0,109.0
15466642,23,28.0,0.0
17010804,1,27.0,9.0
28988457,1,26.0,0.0
29270100,1,26.0,0.0
33574382,1,24.0,6.0
20031635,1,24.0,56.0
20850564,1,24.0,0.0
28292826,18,23.0,0.0
24705789,1,23.0,11.0
24269949,3,23.0,12.0
19817925,1,23.0,0.0
25634836,1,22.0,10.0
29688407,13,21.0,0.0
25471708,8,21.0,0.0
15840476,3,20.0,0.0
29805884,2,20.0,0.0
18713323,1,20.0,0.0
40368814,1,19.0,0.0
22539601,1,19.0,0.0
12051962,4,19.0,0.0
41317941,2,18.0,0.0
34398675,7,18.0,2.0
12442276,5,18.0,0.0
12702160,9,17.0,41.0
27485560,14,17.0,0.0
29097701,2,16.0,0.0
14603707,1,16.0,0.0
39082327,1,16.0,0.0
24411289,1,16.0,0.0
19808498,9,15.0,1.0
24357532,4,14.0,0.0
14756674,2,14.0,0.0
26230511,7,14.0,8.0
38060596,1,13.0,0.0
22956155,10,13.0,0.0
34557911,6,13.0,0.0
36898499,3,13.0,1.0
41858555,8,13.0,0.0
37821546,10,12.0,0.0
9708480,1,12.0,18.0
22708720,1,12.0,0.0
22677073,15,12.0,3.0
36480497,10,12.0,0.0
41299264,2,12.0,0.0
21810471,2,11.0,0.0
33552729,8,11.0,3.0
22629021,6,11.0,3.0
10483966,2,11.0,34.0
37445499,6,11.0,0.0
23350853,1,11.0,3.0
9702906,1,10.0,0.0
20959120,1,10.0,0.0
20981542,1,10.0,0.0
9791861,1,10.0,0.0
36277779,47,10.0,226.0
41013213,10,10.0,0.0
15192825,4,10.0,0.0
36674868,5,10.0,0.0
40313678,6,10.0,0.0
17470695,1,10.0,0.0
33614747,9,9.0,0.0
25974115,3,9.0,1.0
17905336,5,9.0,0.0
37872640,1,9.0,0.0
24218437,6,9.0,0.0
27379800,9,9.0,0.0
29876285,6,9.0,0.0
28595573,3,9.0,0.0
26118593,4,8.0,0.0
18580685,1,8.0,6.0
29622001,1,8.0,12.0
34531279,5,8.0,0.0
24372464,6,7.0,0.0
26066609,3,7.0,0.0
10024302,4,7.0,1.0
20662986,1,7.0,8.0
29037160,4,7.0,9.0
9386136,1,7.0,37.0
19632626,1,7.0,1.0
14531214,1,7.0,0.0
17222736,7,7.0,0.0
14998624,5,7.0,0.0
38014677,5,7.0,0.0
