gene,scope,coverage,rows,A,U,papers
HNF1A,all_frozen_observations,all,419,762.0,115.0,173
HNF1A,all_frozen_observations,top_three_A_sources,4,122.0,35.0,3
HNF1A,all_frozen_observations,keyword_flagged,14,33.0,14.0,12
HNF1A,all_frozen_observations,top_three_or_keyword_flagged,18,155.0,49.0,15
HNF1A,canonical_missense_keys,all,266,526.0,76.0,128
HNF1A,canonical_missense_keys,top_three_A_sources,3,121.0,35.0,3
HNF1A,canonical_missense_keys,keyword_flagged,6,10.0,0.0,6
HNF1A,canonical_missense_keys,top_three_or_keyword_flagged,9,131.0,35.0,9
LDLR,all_frozen_observations,all,1554,4595.0,216.0,433
LDLR,all_frozen_observations,top_three_A_sources,13,734.0,0.0,3
LDLR,all_frozen_observations,keyword_flagged,3,5.0,1.0,1
LDLR,all_frozen_observations,top_three_or_keyword_flagged,16,739.0,1.0,4
LDLR,canonical_missense_keys,all,718,1400.0,114.0,245
LDLR,canonical_missense_keys,top_three_A_sources,3,62.0,0.0,1
LDLR,canonical_missense_keys,keyword_flagged,2,2.0,1.0,1
LDLR,canonical_missense_keys,top_three_or_keyword_flagged,5,64.0,1.0,2
KCNQ1,all_frozen_observations,all,1909,8392.0,2264.0,463
KCNQ1,all_frozen_observations,top_three_A_sources,275,2031.0,162.0,3
KCNQ1,all_frozen_observations,keyword_flagged,99,280.0,38.0,58
KCNQ1,all_frozen_observations,top_three_or_keyword_flagged,374,2311.0,200.0,61
KCNQ1,canonical_missense_keys,all,1365,6511.0,1756.0,374
KCNQ1,canonical_missense_keys,top_three_A_sources,183,1281.0,162.0,3
KCNQ1,canonical_missense_keys,keyword_flagged,61,196.0,15.0,39
KCNQ1,canonical_missense_keys,top_three_or_keyword_flagged,244,1477.0,177.0,42
