gene,half_distance,supported,median,minimum,maximum,mean_abs_delta_h3,max_abs_delta_h3,below_or_equal_0p1_percent
HNF1A,3,722,0.0612892941308146,0.0249703170468365,0.5739583362896921,0.0,0.0,0
HNF1A,2,722,0.0601135202927981,0.0158163977236706,0.7868434793335646,0.0158113950351547,0.2128851430438725,0
HNF1A,5,722,0.0636346577780295,0.0369727544803287,0.3762061492572616,0.01440999212078,0.1977521870324304,0
GCK,3,594,0.3486190922209734,0.1292565394252152,0.5059205189851791,0.0,0.0,0
GCK,2,594,0.3319517056302298,0.0488449849457415,0.6610696122287921,0.0314743608722698,0.1909850675973242,0
GCK,5,594,0.3513796301944677,0.2348951934516272,0.4313353496701288,0.0255849987972685,0.1062516572673665,0
LDLR,3,1192,0.1548549279890201,0.0370942743407058,0.4200220740516304,0.0,0.0,0
LDLR,2,1192,0.1358872476410463,0.0232724705353072,0.6098240351809298,0.0239445196737662,0.281485659354199,0
LDLR,5,1192,0.1642670897361639,0.0580170288586668,0.3127931433378402,0.0174196539303082,0.1417656854817348,0
BRCA2,3,4235,0.0336212736069487,0.0016148552254762,0.2403926153488278,0.0,0.0,0
BRCA2,2,4235,0.0303553084846101,0.0016148552254762,0.3771748941535216,0.0061483505618394,0.1584326008406562,0
BRCA2,5,4235,0.0369220134059323,0.0016148552254762,0.1430282294590473,0.0055045155432227,0.1213156269799299,0
KCNQ1,3,975,0.2461138576573026,0.0761060889577527,0.6392403972771987,0.0,0.0,0
KCNQ1,2,975,0.2156229002311718,0.0476541326166825,0.7733832369656243,0.0312584481143,0.1975980533516547,0
KCNQ1,5,975,0.2843096802905294,0.0896483378996091,0.564720486345381,0.0270165782382435,0.1492516465831297,0
