gene,scenario,score,variants,supported,supported_residues,mean,median,minimum,maximum,at_or_below_0p1_percent,exact_zero
HNF1A,previous,density,785,726,427,0.10368996276668704,0.06349451185011146,0.0252504603765217,0.5852628583411209,0,0
HNF1A,refreshed,density,781,722,426,0.1014882167177923,0.0612892941308146,0.0249703170468365,0.5739583362896921,0,0
HNF1A,refreshed,raw_variant_fraction_density,781,722,426,0.10380371898377104,0.0208100637199594,0.0,0.7936469596878378,49,1
HNF1A,refreshed,raw_kernel_pooled_fraction,781,722,426,0.05935416101760063,0.0070875999671367,0.0,0.7633468781111648,200,1
HNF1A,refreshed,raw_kernel_one_prior_posterior,781,722,426,0.0580943850354494,0.01211493136526345,6.740742489377027e-07,0.7261056725932232,154,0
GCK,previous,density,634,614,346,0.3683821149544031,0.37407210218489445,0.1364200800501152,0.5182507513054962,0,0
GCK,refreshed,density,614,594,339,0.3432298257632016,0.3486190922209734,0.1292565394252152,0.5059205189851791,0,0
GCK,refreshed,raw_variant_fraction_density,614,594,339,0.3243965444718152,0.3200981744574162,0.0218576619254627,0.7066717138007631,0,0
GCK,refreshed,raw_kernel_pooled_fraction,614,594,339,0.32078324863366897,0.3271880706936424,0.0033397022456751,0.7351730410009676,0,0
GCK,refreshed,raw_kernel_one_prior_posterior,614,594,339,0.325417443123661,0.32955393663401833,0.0083796356193893,0.700671265933945,0,0
LDLR,previous,density,1376,1206,640,0.16237700160932061,0.16254290353622652,0.0404423533718786,0.4182824157151512,0,0
LDLR,refreshed,density,1361,1192,637,0.15500198071593574,0.1548549279890201,0.0370942743407058,0.4200220740516304,0,0
LDLR,refreshed,raw_variant_fraction_density,1361,1192,637,0.16355054738921657,0.1630575756037287,0.0,0.6955751239703252,159,20
LDLR,refreshed,raw_kernel_pooled_fraction,1361,1192,637,0.10180131993844216,0.06633324068626666,0.0,0.5141325602852472,109,20
LDLR,refreshed,raw_kernel_one_prior_posterior,1361,1192,637,0.10336062976475409,0.07364721335546695,6.905918731392857e-05,0.4956049592932661,33,0
BRCA2,previous,density,4584,4371,2525,0.05157989103407163,0.0457137703178421,0.0019977118795798,0.2667743535259548,0,0
BRCA2,refreshed,density,4444,4235,2481,0.039654625426494464,0.0336212736069487,0.0016148552254762,0.2403926153488278,0,0
BRCA2,refreshed,raw_variant_fraction_density,4444,4235,2481,0.04739092504734549,0.0265923630994059,0.0,0.7853521527431822,165,40
BRCA2,refreshed,raw_kernel_pooled_fraction,4444,4235,2481,0.0239486850449674,0.0109084226077082,0.0,0.7371940729364919,539,40
BRCA2,refreshed,raw_kernel_one_prior_posterior,4444,4235,2481,0.02483928135763359,0.0154684519086572,1.2614525481622076e-05,0.6941530058115583,281,0
KCNQ1,previous,density,1061,975,508,0.2864448388439405,0.2461516399505185,0.0761110121384457,0.6393049302008711,0,0
KCNQ1,refreshed,density,1061,975,508,0.28641731437885576,0.2461138576573026,0.0761060889577527,0.6392403972771987,0,0
KCNQ1,refreshed,raw_variant_fraction_density,1061,975,508,0.25705672528917484,0.1984258832876421,0.0,0.8283733679107929,47,27
KCNQ1,refreshed,raw_kernel_pooled_fraction,1061,975,508,0.27877935347217736,0.1998449742051759,0.0,0.8858743878499977,39,27
KCNQ1,refreshed,raw_kernel_one_prior_posterior,1061,975,508,0.283027402459738,0.2042105197297812,0.0019416684470736,0.8831064177193282,0,0
