probe_type,probe_label,polymer_b_angstrom,polymer_nu,sequence_separation,distance_angstrom,kernel,analysis_role,midpoint_or_half_distance_angstrom,weight,weight_at_zero,relative_to_zero_weight
distance_probe,zero,,,,0.0,historical_sine_pi_cleanup,historical_reference_only,2.0,0.9207354924039483,0.9207354924039483,1.0
distance_probe,zero,,,,0.0,historical_sine_pi_cleanup,historical_reference_only,3.0,0.9987474933020273,0.9987474933020273,1.0
distance_probe,zero,,,,0.0,historical_sine_pi_cleanup,historical_reference_only,5.0,1.0,1.0,1.0
distance_probe,zero,,,,0.0,normalized_sigmoid,positive_tail_sensitivity,2.0,1.0,1.0,1.0
distance_probe,zero,,,,0.0,normalized_sigmoid,primary,3.0,1.0,1.0,1.0
distance_probe,zero,,,,0.0,normalized_sigmoid,positive_tail_sensitivity,5.0,1.0,1.0,1.0
distance_probe,2A,,,,2.0,historical_sine_pi_cleanup,historical_reference_only,2.0,0.5,0.9207354924039483,0.5430441251857795
distance_probe,2A,,,,2.0,historical_sine_pi_cleanup,historical_reference_only,3.0,0.7397127693021015,0.9987474933020273,0.740640426396953
distance_probe,2A,,,,2.0,historical_sine_pi_cleanup,historical_reference_only,5.0,0.9987474933020273,1.0,0.9987474933020273
distance_probe,2A,,,,2.0,normalized_sigmoid,positive_tail_sensitivity,2.0,0.5,1.0,0.5
distance_probe,2A,,,,2.0,normalized_sigmoid,primary,3.0,0.6493329775740642,1.0,0.6493329775740642
distance_probe,2A,,,,2.0,normalized_sigmoid,positive_tail_sensitivity,5.0,0.7837464854628137,1.0,0.7837464854628137
distance_probe,3A,,,,3.0,historical_sine_pi_cleanup,historical_reference_only,2.0,0.2602872306978985,0.9207354924039483,0.2826949029827389
distance_probe,3A,,,,3.0,historical_sine_pi_cleanup,historical_reference_only,3.0,0.5,0.9987474933020273,0.500627038719182
distance_probe,3A,,,,3.0,historical_sine_pi_cleanup,historical_reference_only,5.0,0.9207354924039483,1.0,0.9207354924039483
distance_probe,3A,,,,3.0,normalized_sigmoid,positive_tail_sensitivity,2.0,0.32278095559281783,1.0,0.32278095559281783
distance_probe,3A,,,,3.0,normalized_sigmoid,primary,3.0,0.5,1.0,0.5
distance_probe,3A,,,,3.0,normalized_sigmoid,positive_tail_sensitivity,5.0,0.681853348807925,1.0,0.681853348807925
distance_probe,6A,,,,6.0,historical_sine_pi_cleanup,historical_reference_only,2.0,0.0,0.9207354924039483,0.0
distance_probe,6A,,,,6.0,historical_sine_pi_cleanup,historical_reference_only,3.0,0.0012525066979727772,0.9987474933020273,0.0012540774383641047
distance_probe,6A,,,,6.0,historical_sine_pi_cleanup,historical_reference_only,5.0,0.2602872306978985,1.0,0.2602872306978985
distance_probe,6A,,,,6.0,normalized_sigmoid,positive_tail_sensitivity,2.0,0.07142857142857142,1.0,0.07142857142857142
distance_probe,6A,,,,6.0,normalized_sigmoid,primary,3.0,0.19999999999999996,1.0,0.19999999999999996
distance_probe,6A,,,,6.0,normalized_sigmoid,positive_tail_sensitivity,5.0,0.42219096339991813,1.0,0.42219096339991813
distance_probe,10A,,,,10.0,historical_sine_pi_cleanup,historical_reference_only,2.0,0.0,0.9207354924039483,0.0
distance_probe,10A,,,,10.0,historical_sine_pi_cleanup,historical_reference_only,3.0,0.0,0.9987474933020273,0.0
distance_probe,10A,,,,10.0,historical_sine_pi_cleanup,historical_reference_only,5.0,0.0,1.0,0.0
distance_probe,10A,,,,10.0,normalized_sigmoid,positive_tail_sensitivity,2.0,0.008196721311475403,1.0,0.008196721311475403
distance_probe,10A,,,,10.0,normalized_sigmoid,primary,3.0,0.05007418691300718,1.0,0.05007418691300718
distance_probe,10A,,,,10.0,normalized_sigmoid,positive_tail_sensitivity,5.0,0.19999999999999996,1.0,0.19999999999999996
distance_probe,15A,,,,15.0,historical_sine_pi_cleanup,historical_reference_only,2.0,0.0,0.9207354924039483,0.0
distance_probe,15A,,,,15.0,historical_sine_pi_cleanup,historical_reference_only,3.0,0.0,0.9987474933020273,0.0
