model,support_stratum,n_variants,mae_empirical_posterior,mse_empirical_posterior,mae_observed_fraction,mse_observed_fraction,mean_beta_binomial_nll,spearman_observed_fraction,mean_prediction,mean_observed_fraction,cohort
density_fit,all,6326,0.07945151812211769,0.007713025872865751,0.41134717817583405,0.2635425552595439,1.2346927871851168,0.07212745704040584,0.17896899697361102,0.4145806838877437,all_supported
density_unfitted,all,6326,0.07855047702329178,0.00811809478306443,0.40995561999751523,0.2627920304909351,1.235520053137092,0.07581734448307885,0.17921308539702235,0.4145806838877437,all_supported
empirical_prior,all,6326,0.0792448069353949,0.008659086210131232,0.4113850071172373,0.279050917163925,1.2618360974753469,,0.14859816585747826,0.4145806838877437,all_supported
intercept_only,all,6326,0.0798115582670099,0.007739118154755699,0.4117375344814888,0.26382830035313076,1.2356614282627727,,0.17896945456158242,0.4145806838877437,all_supported
sequence_fit,all,6326,0.07940951520927343,0.007708287114710609,0.4113001458228954,0.26348857195636677,1.2343430072241917,0.07832385698510298,0.1789691207352368,0.4145806838877437,all_supported
sequence_unfitted,all,6326,0.07845601600321218,0.008019910587206958,0.410026064843346,0.26261134891902943,1.2337549753077688,0.081678568509412,0.17936511045738882,0.4145806838877437,all_supported
density_fit,polymer,4389,0.07906736257849298,0.00761492398540122,0.4080726015938975,0.26054337031092184,1.2262705208916258,0.10521432658680682,0.17865011350838558,0.40843209763776156,all_supported
density_unfitted,polymer,4389,0.07754919394775109,0.007938199355634343,0.40608228380778966,0.2598401247427389,1.224855207527146,0.10887813330636434,0.17770015105653184,0.40843209763776156,all_supported
empirical_prior,polymer,4389,0.07860359523981131,0.008489034482896382,0.4078497777825531,0.27566468298749985,1.2507389153104016,,0.14859816585747831,0.40843209763776156,all_supported
intercept_only,polymer,4389,0.07958639369189972,0.007662595345755565,0.4086267163890011,0.26081541968518324,1.2278203425288892,,0.17896969780422334,0.40843209763776156,all_supported
sequence_fit,polymer,4389,0.07898429037662885,0.007608230951581912,0.4079870231065073,0.26048777347526697,1.2259348351688204,0.10674820120329241,0.17861071339468026,0.40843209763776156,all_supported
sequence_unfitted,polymer,4389,0.07744655093430089,0.007870516783132598,0.40610152828356827,0.2596759773819387,1.2238087408643372,0.11007173632654411,0.1778941395853342,0.40843209763776156,all_supported
density_fit,structured,1937,0.08032196658931898,0.007935312493455233,0.4187669595997471,0.27033833364854887,1.2537765903663922,-0.008456422510636519,0.17969154706595702,0.42851261215370745,all_supported
density_unfitted,structured,1937,0.0808192593766981,0.00852571534630173,0.41873211588636683,0.26948068011862386,1.2596852608717608,-0.004816145032646302,0.1826412055934151,0.42851261215370745,all_supported
empirical_prior,structured,1937,0.08069771252750453,0.009044402178553412,0.4193953951141032,0.28672370074695536,1.2869809258294744,,0.14859816585747823,0.42851261215370745,all_supported
intercept_only,structured,1937,0.0803217530631682,0.007912509279537107,0.41878625962755434,0.27065511153104604,1.253428348906044,,0.17896890340414773,0.42851261215370745,all_supported
sequence_fit,structured,1937,0.08037302155438293,0.007935001879796748,0.41880726797169615,0.27028800640837863,1.253394874622759,0.005333492225554905,0.17978122699114943,0.42851261215370745,all_supported
sequence_unfitted,structured,1937,0.08074333773137511,0.008358418282654746,0.41891857437399366,0.2692625340900624,1.2562918999191375,0.008784585180242803,0.18269814667703138,0.42851261215370745,all_supported
am_fit,all,2256,0.006642855125002289,0.000980533326549265,0.7153562988302878,0.5195133530593377,1.333605846999753,-0.058262258182493795,0.26836924917505595,0.9734008394976995,am_common
am_plus_density,all,2256,0.006796991804032263,0.0009809229923577608,0.7153579897123433,0.5195141330125687,1.333613472007231,0.015117900643212202,0.2683680585433995,0.9734008394976995,am_common
am_plus_sequence,all,2256,0.006875766817336793,0.000980796175871277,0.7153554068524065,0.51951059043398,1.3336068001656654,0.02097071643859737,0.2683686417321837,0.9734008394976995,am_common
density_fit,all,2256,0.006702800114052062,0.0009801999527636058,0.7153528719717747,0.5195103614587834,1.3336038348951345,0.012760531417269348,0.2683677271535875,0.9734008394976995,am_common
