scheme,outcome,metric,observed,null_mean,null_p025,null_p975,p_null_at_least_observed,repeats,strata
unconditional,posterior,mse_density,0.0295657652699,0.0367771379232,0.0352586163524,0.0382356042799,1,2000,1
unconditional,posterior,gain_vs_fixed_prior,0.00530778360744,-0.00190358904583,-0.0033620554026,-0.00038506747508,0.000499750124938,2000,1
unconditional,posterior,gain_vs_sequence,0.00116912547055,0.000775385721291,-0.000242011747997,0.00177941634146,0.225887056472,2000,1
unconditional,posterior,density_sd,0.070322736399,0.0434078883689,0.0387434363607,0.048855075169,0.000499750124938,2000,1
unconditional,count_only,mse_density,0.166802921886,0.204711792176,0.196522102937,0.212973614911,1,2000,1
unconditional,count_only,gain_vs_fixed_prior,0.0284018230878,-0.00950704720169,-0.017768869937,-0.00131735796309,0.000499750124938,2000,1
unconditional,count_only,gain_vs_sequence,0.00311453486798,0.00421285297421,-0.00130426099386,0.00981581961036,0.653173413293,2000,1
unconditional,count_only,density_sd,0.158169905259,0.10229387047,0.0917536519899,0.11520474162,0.000499750124938,2000,1
within_origin,posterior,mse_density,0.0295657652699,0.0322585651319,0.0310135531862,0.0334381368582,1,2000,3
within_origin,posterior,gain_vs_fixed_prior,0.00530778360744,0.00261498374538,0.00143541201915,0.00385999569114,0.000499750124938,2000,3
within_origin,posterior,gain_vs_sequence,0.00116912547055,0.000708882268183,-9.72809605025e-05,0.00148496315451,0.126936531734,2000,3
within_origin,posterior,density_sd,0.070322736399,0.0599339401327,0.0550809504868,0.0653397054323,0.000499750124938,2000,3
within_origin,count_only,mse_density,0.166802921886,0.172030882213,0.168721720998,0.175354447998,0.9980009995,2000,3
within_origin,count_only,gain_vs_fixed_prior,0.0284018230878,0.0231738627614,0.0198502969757,0.0264830239759,0.00249875062469,2000,3
within_origin,count_only,gain_vs_sequence,0.00311453486798,0.00377250041853,0.00155000679682,0.00593447941092,0.720139930035,2000,3
within_origin,count_only,density_sd,0.158169905259,0.15145086176,0.146048320298,0.157150650231,0.00999500249875,2000,3
within_origin_n_bin,posterior,mse_density,0.0295657652699,0.031089003884,0.0299132118309,0.0322625149624,0.996501749125,2000,14
within_origin_n_bin,posterior,gain_vs_fixed_prior,0.00530778360744,0.00378454499334,0.00261103391497,0.00496033704641,0.0039980009995,2000,14
within_origin_n_bin,posterior,gain_vs_sequence,0.00116912547055,0.00114986216862,0.000541350912684,0.00175445481831,0.474262868566,2000,14
within_origin_n_bin,posterior,density_sd,0.070322736399,0.0657224728635,0.0620725942678,0.0694660445225,0.00749625187406,2000,14
within_origin_n_bin,count_only,mse_density,0.166802921886,0.171565049874,0.168082627582,0.174940156657,0.996501749125,2000,14
within_origin_n_bin,count_only,gain_vs_fixed_prior,0.0284018230878,0.0236396951,0.0202645883173,0.0271221173924,0.0039980009995,2000,14
within_origin_n_bin,count_only,gain_vs_sequence,0.00311453486798,0.00383961220566,0.00152165456792,0.00612217074955,0.726636681659,2000,14
within_origin_n_bin,count_only,density_sd,0.158169905259,0.152564927723,0.147375567161,0.157972967841,0.0199900049975,2000,14
