quantity,count,mean,sd,min,p05,p25,median,p75,p95,max
posterior_mean,614,0.360777830558,0.186647678458,0.00470235377613,0.121223116211,0.275893543959,0.275893543959,0.531076602409,0.689529980616,0.886126089877
observed_fraction,614,0.328625073941,0.440197336589,0,0,0,0,0.988636363636,1,1
density_reconstructed,614,0.368382114954,0.070322736399,0.13642008005,0.252683949417,0.317420265239,0.374072102185,0.42004314902,0.47760218862,0.518250751305
count_only_density,614,0.34745776313,0.158169905259,0.0212251701957,0.0915328151469,0.231428055068,0.349069148505,0.467937442149,0.597609416022,0.708632012938
prior_mixture_weight,614,0.596378946311,0.0495552684136,0.291791234438,0.498016998606,0.575433217716,0.606469570774,0.628500910633,0.658519923378,0.684048998291
prior_additive_component,614,0.220909450177,0.0183561595632,0.108084702797,0.184474421878,0.21315077691,0.224647198325,0.232808001461,0.24392758179,0.253384008676
affected_additive_component,614,0.147472664777,0.0688775995315,0.0121168386035,0.0393814580533,0.0947865028367,0.146548699156,0.198821808897,0.259878424875,0.355970660097
n_weighted_posterior_density,614,0.329537145932,0.131481958011,0.0156366715683,0.0949329719329,0.234534696407,0.343778466605,0.432629597964,0.52649564515,0.705195310741
n_weighted_count_density,614,0.332308858465,0.176925035852,0.00334232836495,0.0473654782581,0.18737985767,0.342330270825,0.47270447158,0.618840442467,0.735223482944
population_only_donor_share,614,0.582136260564,0.174126357771,0.2103638586,0.321386455515,0.446497044084,0.573562813332,0.722449314703,0.874004949957,0.968932970782
singleton_donor_share,614,0.529873123152,0.111043930047,0.167072606485,0.330843895974,0.458316481736,0.53923619046,0.611225611577,0.692789788341,0.789862365975
prior_additive_share_of_score,614,0.621597092313,0.123523281545,0.313130450463,0.443194906054,0.526547172922,0.607076081964,0.700868391111,0.844187909012,0.953060991913
kish_donor_n,614,25.0480387999,13.4456337136,4.57551362808,7.80077352383,14.1108285754,23.3700197557,33.5391080603,49.9396479734,80.2712534226
density_HH_units_quarantined_fixed_prior,614,0.366884534652,0.0694423680407,0.13641941995,0.252342712082,0.317049065176,0.373903468288,0.417336921503,0.471299668052,0.517867660981
HH_quarantine_density_change,614,-0.00149758030206,0.00647042650307,-0.0946648165918,-0.00606422508078,-0.000685362284086,-0.000164386218773,-6.66245467641e-06,-1.53802160657e-07,-9.21608411808e-09
